loss, perc_non_zero_loss
1.6404983,0.3387237185744058
1.8834562,0.26430474582530933
1.949676,0.22618513730973172
1.2102019,0.20800907484105838
1.4348807,0.19204896193315218
1.8499067,0.1722109372939035
1.6307465,0.16851768802595826
1.3904481,0.15833487218719497
1.4537396,0.14891708655393462
1.0758102,0.14414224285751973
1.4401969,0.1384177064922046
1.2854457,0.1340913287783259
1.5024523,0.131321391827367
1.3258154,0.12749624079985228
1.1537529,0.12361832906850978
1.0695554,0.11860606220486981
1.2519138,0.11551956103094416
1.3953612,0.114807291529269
1.0146885,0.10968950325797346
1.1807449,0.10705146806658401
